"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","Budget","Actual.as"
"1","","Jan","Feb","Mar","Apr","May","June","Q1 Q2",NA,"Jan‐Jun",NA,""
"2","","","","","","","","",NA,"",2020,"% of Budget"
"3","Total Net Revenues (1)","1263.5","1201.1","902.1","765.2","849.0","265.8","3366.7 1880.0",NA,"5246.6",NA,""
"4","A.  Net Tax Revenues","1151.2","1064.1","815.5","745.2","809.7","210.8","3030.8 1765.7",NA,"4796.5",NA,""
"5","1.  Domestic Tax Revenues","376.2","339.3","146.0","106.7","153.3","213.6","861.4 473.6",NA,"1335.1",NA,""
"6","Income Tax","115.1","151.9","42.3","27.9","24.2","34.5","309.3 86.6",NA,"395.8",NA,""
"7","Value Added Tax","158.7","99.2","51.3","42.6","83.8","89.7","309.2 216.1",NA,"525.4",NA,""
"8","Customs","73.5","71.0","37.9","8.3","28.3","59.6","182.4 96.2",NA,"278.5",NA,""
"9","Excises on Beverages","0.9","0.4","0.4","0.4","0.4","0.4","1.6 1.1",NA,"2.7",NA,""
"10","Excises on Tobacco","18.4","16.1","13.8","27.6","16.5","28.5","48.3 72.7",NA,"121.1",NA,""
"11","Property Tax","9.7","0.6","0.3","0.0","0.1","0.9","10.6 1.0",NA,"11.6",NA,""
"12","2.  Clearance Revenue *","700.5","746.1","717.7","649.8","658.3","","2164.3 1308.1",NA,"3472.5",NA,""
"13","Customs","314.3","330.9","300.6","280.4","346.0","","945.8 626.4",NA,"1572.2",NA,""
"14","Value Added Tax","168.6","187.6","183.4","166.7","144.0","","539.7 310.7",NA,"850.4",NA,""
"15","Purchase Tax","1.8","‐3.9","1.6","1.1","0.3","","‐0.6 1.4",NA,"0.9",NA,""
"16","Petroleum Excise","215.8","231.5","205.1","201.6","168.0","","652.4 369.6",NA,"1022.1",NA,""
"17","Income Tax","‐","‐","27.0","‐","‐","","27.01 ‐",NA,"27.0",NA,""
"18","Other","‐","‐","‐","‐","‐","","‐ ‐",NA,"‐",NA,""
"19","3. Earmarked Collections (3)","109.2","30.2","10.9","0.6","11.6","27.1","150.4 39.3",NA,"189.7",NA,""
"20","Property Tax","87.4","16.4","2.2","0.1","0.9","3.0","106.1 3.9",NA,"110.0",NA,""
"21","Transportation","12.5","12.1","6.7","0.2","9.6","18.9","31.4 28.7",NA,"60.1",NA,""
"22","other","9.3","1.7","1.9","0.3","1.2","5.2","12.9 6.7",NA,"19.6",NA,""
"23","4.  Tax Refunds (‐)","34.7","51.5","59.1","12.0","13.5","29.8","145.3 55.3",NA,"200.7",NA,""
"24","Fuel","30.0","50.0","25.0","12.0","10.0","14.0","105.0 36.0",NA,"141.0",NA,""
"25","Other (2)","4.7","1.5","34.1","0.0","3.5","15.8","40.3 19.3",NA,"59.7",NA,""
"26","B.  Nontax Revenues","112.3","137.0","86.6","20.0","39.3","55.0","335.9 114.2",NA,"450.1",NA,""
"27","1.  Domestic Fees and Charges","111.7","96.5","86.5","20.0","39.0","54.9","294.7 113.9",NA,"408.6",NA,""
"28","Civil Registration Fees","0.5","0.7","0.2","0.0","0.1","0.3","1.5 0.4",NA,"1.9",NA,""
"29","Health Fees","8.8","7.9","6.5","4.1","4.3","9.1","23.2 17.6",NA,"40.8",NA,""
"30","Health Insurance","30.8","20.3","16.0","13.7","6.2","4.5","67.0 24.4",NA,"91.4",NA,""
"31","Transportation","12.5","12.1","6.7","0.2","9.5","18.9","31.4 28.6",NA,"60.0",NA,""
"32","Local Government","0.4","0.6","0.3","0.0","0.2","0.4","1.3 0.6",NA,"1.8",NA,""
"33","Ministry of Economy","1.3","1.3","0.8","0.1","0.4","1.1","3.4 1.6",NA,"5.1",NA,""
"34","Shari'a Courts Fees","0.5","0.4","0.2","0.0","0.2","0.5","1.1 0.7",NA,"1.8",NA,""
"35","Land Registration","6.1","8.8","4.6","0.3","3.2","9.7","19.5 13.1",NA,"32.6",NA,""
"36","Ministry of Housing","0.0","1.4","0.0","0.0","0.0","0.0","1.4 0.0",NA,"1.4",NA,""
"37","Agriculture Services","0.4","0.5","0.5","0.4","0.4","0.6","1.4 1.5",NA,"2.9",NA,""
"38","Tourist Fees","0.3","0.3","0.1","0.0","0.0","0.1","0.8 0.1",NA,"0.9",NA,""
"39","Telecommunication Fees","5.9","5.4","2.3","0.0","0.5","2.0","13.5 2.6",NA,"16.1",NA,""
"40","Ministry of Education","1.6","1.1","0.3","0.1","0.1","0.3","3.0 0.5",NA,"3.5",NA,""
"41","High Court of Justice Fees","5.2","5.2","2.3","0.2","1.5","4.0","12.8 5.8",NA,"18.5",NA,""
"42","Foreign Affairs","0.1","0.1","0.1","0.0","0.0","0.1","0.3 0.1",NA,"0.4",NA,""
"43","Licenses","0.3","0.3","0.3","0.1","0.2","0.3","0.9 0.5",NA,"1.4",NA,""
"44","Others","37.0","30.0","45.3","0.7","12.1","3.1","112.2 15.9",NA,"128.1",NA,""
"45","Training fees","0.0","0.0","0.0","0.0","0.0","0.0","0.0 0.0",NA,"0.0",NA,""
"46","2.  Investments Profits","0.5","40.6","0.1","0.0","0.3","0.0","41.2 0.3",NA,"41.5",NA,""
