"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","Budget","Actual.as"
"1","",NA,"Jan","Feb","Mar","Apr","May","Q1","Jan-May",NA,""
"2","",NA,"","","","","","","",2020,"% of Budget"
"3","Total Net Revenue",NA,"1263.5","1201.1","902.1","765.2","849.0","3366.7","4980.9",NA,""
"4","Gross Domestic Revenue",NA,"597.7","506.5","243.5","127.3","204.3","1347.7","1679.3",NA,""
"5","Tax Revenue",NA,"376.2","339.3","146.0","106.7","153.3","861.4","1121.5",NA,""
"6","Nontax Revenue",NA,"112.3","137.0","86.6","20.0","39.3","335.9","395.1",NA,""
"7","Earmarked Collections (1)",NA,"109.2","30.2","10.9","0.6","11.6","150.4","162.6",NA,""
"8","Clearance Revenue*",NA,"700.5","746.1","717.7","649.8","658.3","2164.3","3472.5",NA,""
"9","Tax Refunds (-)",NA,"34.7","51.5","59.1","12.0","13.5","145.3","170.8",NA,""
"10","Fuel",NA,"30.0","50.0","25.0","12.0","10.0","105.0","127.0",NA,""
"11","Other (2)",NA,"4.7","1.5","34.1","0.0","3.5","40.3","43.8",NA,""
"12","Total Expenditure & Net lending",NA,"1009.0","1198.8","1151.3","1294.7","1070.3","3359.1","5724.1",NA,""
"13","Wages and salaries",221,"533.2","568.4","563.9","570.3","568.0","1665.5","2803.8",NA,""
"14","Gov. Social contributions",222,"55.2","55.1","54.9","55.0","55.1","165.3","275.4",NA,""
"15","Use of goods and services",231,"25.8","94.5","95.2","89.2","157.4","215.5","462.1",NA,""
"16","Transfers",232,"160.9","321.4","329.6","459.7","152.3","812.0","1424.0",NA,""
"17","Minor capital",233,"0.0","0.2","0.3","7.8","4.0","0.6","12.4",NA,""
"18","Interest",NA,"18.1","5.6","1.8","25.7","15.5","25.5","66.6",NA,""
"19","Domestic",NA,"18.1","5.6","0.7","22.9","13.3","24.3","60.5",NA,""
"20","External",NA,"0.0","0.0","1.1","2.8","2.2","1.1","6.2",NA,""
"21","Net lending  (3)",NA,"106.7","123.2","94.6","86.4","106.3","324.5","517.2",NA,""
"22","Earmarked Payments (1)",NA,"109.2","30.2","10.9","0.6","11.6","150.4","162.6",NA,""
"23","Property Tax",NA,"87.4","16.4","2.2","0.1","0.9","106.1","107.1",NA,""
"24","Transportation Fees",NA,"12.5","12.1","6.7","0.2","9.6","31.4","41.2",NA,""
"25","others",NA,"9.3","1.7","1.9","0.3","1.2","12.9","14.4",NA,""
"26","Current Balance",NA,"254.4","2.3","-249.2","-529.5","-221.3","7.6","-743.2",NA,""
"27","Development Expenditure",NA,"6.3","65.3","76.4","46.9","46.9","148.0","241.8",NA,""
"28","Balance",NA,"248.1","-63.0","-325.5","-576.4","-268.2","-140.4","-985.0",NA,""
"29","Financing",NA,"-248.1","63.0","325.5","576.4","268.2","140.4","985.0",NA,""
"30","External Budgetary Support",NA,"0.0","138.4","108.1","194.3","282.7","246.5","723.5",NA,""
"31","Development Financing",NA,"2.1","12.3","17.6","54.1","43.6","32.1","129.7",NA,""
"32","Net Domestic Bank Financing (4)",NA,"-389.2","-108.6","38.7","-289.6","-87.6","-459.2","-836.3",NA,""
"33","Expenditure Arrears (Net Accumulation) (5)",NA,"225.5","155.1","153.3","169.2","792.3","533.9","1495.4",NA,""
"34","Clearance Revenue Withheld (6)",NA,"41.9","41.9","-76.6","-500.2","658.3","7.2","165.3",NA,""
"35","Tax Refunds  (Arrears)",NA,"2.9","0.5","27.5","0.0","3.5","30.9","34.4",NA,""
"36","G&S and Dev. Arrears Payments  (stock) (7)",NA,"-46.9","-98.5","-94.0","-50.5","-101.9","-239.5","-391.8",NA,""
"37","Residual",NA,"-0.7","5.7","-2.2","-1.2","-6.2","2.9","-4.4",NA,""
"38","Budget Exchange Rate (NIS/USD)",NA,"","","","","","","",NA,""
"39","Actual Exchange Rate (NIS/USD)",NA,"3.46","3.44","3.54","3.54","3.51","3.48","3.49",NA,""
