"","X","Dec..2019","Jan..2020","Feb..2020","Mar..2020","Apr..2020","May.2020","Jun..2020","Jul..2020","Aug..2020","Sep..2020","Oct..2020","Nov..2020"
"1","Total Public Debt","9 ,662.0","9 ,897.9","9 ,936.6","10,273.2","10,236.5","10,338.8","10,629.5","11,011.6","11,355.5","11,921.4","11,878.0","11,991.7"
"2","A.Total Domestic Debt","5 ,451.8","5 ,614.7","5 ,598.0","5 ,684.5","5 ,729.1","5 ,813.3","6 ,164.3","6 ,566.0","6 ,963.8","7 ,432.6","7 ,460.8","7,615.1"
"3","Total Domestic Debt ( short term)","4 ,268.9","4 ,482.2","4 ,592.9","4 ,652.8","4 ,722.4","4 ,808.8","4 ,618.8","4 ,843.1","4 ,932.3","4 ,966.9","5 ,037.4","5,269.5"
"4","Total Domestic Debt ( long term)","1 ,182.9","1 ,132.5","1 ,005.0","1 ,031.7","1 ,006.7","1 ,004.4","1 ,545.5","1 ,722.9","2 ,031.4","2 ,465.7","2 ,423.4","2,345.6"
"5","Bank Loans","3 ,261.9","3 ,225.8","3 ,166.9","3 ,212.7","3 ,190.0","3 ,202.7","3 ,766.1","3 ,965.8","4 ,130.6","4 ,572.0","4 ,644.0","4,700.2"
"6","Short term","2 ,078.9","2 ,093.3","2 ,161.8","2 ,180.9","2 ,183.4","2 ,198.3","2 ,220.5","2 ,242.9","2 ,099.1","2 ,106.3","2 ,220.5","2,354.61"
"7","Long term","1 ,182.9","1 ,132.5","1 ,005.0","1 ,031.7","1 ,006.7","1 ,004.4","1 ,545.5","1 ,722.9","2 ,031.4","2 ,465.7","2 ,423.4","2,345.59"
"8","Overdraft","1 ,090.6","1 ,285.5","1 ,326.4","1 ,373.7","1 ,516.3","1 ,560.5","1 ,312.0","1 ,522.6","1 ,596.9","1 ,610.1","1 ,569.4","1,611.3"
"9","Short term","1 ,090.6","1 ,285.5","1 ,326.4","1 ,373.7","1 ,516.3","1 ,560.5","1 ,312.0","1 ,522.6","1 ,596.9","1 ,610.1","1 ,569.4","1,611.28"
"10","Petroleum Authority loans","1 ,048.8","1 ,052.8","1 ,054.1","1 ,047.6","972.1","999.5","1 ,035.6","1 ,027.1","1 ,035.7","1 ,049.9","1 ,043.6","1,103.0"
"11","Short term","1 ,048.8","1 ,052.8","1 ,054.1","1 ,047.6","972.1","999.5","1 ,035.6","1 ,027.1","1 ,035.7","1 ,049.9","1 ,043.6","1,102.97"
"12","Other public institutions  loans (1)","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","200.6","200.6","203.8","200.6"
"13","Short term","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","200.6","200.6","203.8","200.63"
"14","B.Total Foreign Debt **","4 ,210.2","4 ,283.2","4 ,338.6","4 ,588.7","4 ,507.4","4 ,525.5","4 ,465.2","4 ,445.6","4 ,391.7","4 ,488.8","4 ,417.2","4,376.7"
"15","Total Foreign Debtt (short term)","537.8","541.2","513.6","539.8","541.8","540.5","542.1","539.8","541.8","561.9","408.7","425.18"
"16","Total Foreign Deb (long term)","3 ,672.4","3 ,742.0","3 ,825.0","4 ,048.9","3 ,965.6","3 ,985.1","3 ,922.1","3 ,905.9","3 ,849.9","3 ,926.9","4 ,008.5","3,951.49"
"17","1. Arab Financial Institutions","2,555.2","2,636.5","2,709.1","2,902.1","2,855.8","2,856.7","2,811.0","2,781.2","2,742.4","2,806.8","2,765.2","2,708.3"
"18","Al Aqsa Fund","1,773.3","1,770.5","1,762.4","1,825.8","1,794.5","1,800.0","1,769.8","1 ,751.6","1 ,724.9","1 ,767.5","1 ,739.8","1,702.48"
"19","Arab Fund for Economic & Social Development","49.3","49.1","48.5","48.9","48.9","49.2","48.4","48.2","47.6","48.6","47.9","46.89"
"20","Islamic Development Bank","127.7","126.7","125.3","129.7","127.4","128.2","128.2","127.8","127.3","129.4","128.1","126.41"
"21","Qatar National Bank (2)","604.9","690.2","772.9","897.7","885.0","879.3","864.5","853.6","842.6","861.3","849.4","832.50"
"22","2. International and Regional Institutions","1,162.5","1,160.0","1,153.2","1,188.6","1,167.6","1,173.7","1,156.9","1,150.7","1,136.0","1,163.3","1,137.7","1,114.8"
"23","World Bank (3)","942.7","941.8","938.3","972.2","956.3","959.5","943.7","934.7","921.3","944.1","930.0","909.76"
"24","European Investment Bank","134.8","133.2","130.4","128.9","125.3","128.2","128.2","131.8","131.7","134.1","123.9","123.16"
"25","IFAD","7.1","7.0","7.0","7.2","7.1","6.9","6.9","6.9","6.9","7.0","6.9","6.64"
"26","OPEC","77.4","77.2","76.9","79.6","78.3","78.5","77.5","76.7","75.6","77.4","76.2","74.54"
"27","KFW(4)","0.7","0.7","0.6","0.7","0.6","0.7","0.7","0.6","0.7","0.7","0.7","0.68"
"28","3. Bilateral Loans","492.5","486.7","476.4","497.9","484.1","495.2","497.3","513.7","513.3","518.7","514.3","553.6"
"29","Spain","270.3","267.1","261.5","273.3","265.6","271.7","270.4","279.2","279.0","281.9","278.6","276.89"
"30","Italy  (5)","222.2","219.6","214.9","224.7","218.5","223.5","227.0","234.5","234.3","236.7","235.6","276.7"
